Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
8/2/2015,-2,-3,-1,Republicans,New York Times
8/2/2015,-0.333333333,-0.166666667,-0.166666667,Republicans,New York Times
8/1/2015,0.666666667,0.833333333,0.166666667,Republicans,New York Times
7/31/2015,-0.25,1,1.25,Republicans,New York Times
7/31/2015,0.28,0.416666667,0.136666667,Republicans,New York Times
7/28/2015,-0.333333333,-0.537037037,-0.203703704,Republicans,New York Times
7/27/2015,0.037735849,0.445833333,0.408097484,Republicans,New York Times
7/27/2015,-1.2,-1.25,-0.05,Republicans,New York Times
7/24/2015,-1,-1,0,Republicans,New York Times
7/24/2015,-0.4,0,0,Republicans,New York Times
7/24/2015,-2,0,0,Republicans,New York Times
7/18/2015,0,-0.333333333,-0.333333333,Republicans,New York Times
7/16/2015,0.30952381,-0.8,-1.10952381,Republicans,New York Times
7/15/2015,0.454545455,0.611111111,0.156565657,Republicans,New York Times
7/12/2015,0.463414634,0.466666667,0.003252033,Republicans,New York Times
7/10/2015,-0.428571429,-0.458333333,-0.029761905,Republicans,New York Times
7/10/2015,-0.538461538,-1.5,-0.961538462,Republicans,New York Times
7/8/2015,0.125,-0.027777778,-0.152777778,Republicans,New York Times
6/28/2015,-1.5,-0.666666667,-0.833333333,Republicans,New York Times
6/27/2015,0.142857143,-2,-2.142857143,Republicans,New York Times
6/24/2015,0.166666667,-0.5,-0.666666667,Republicans,New York Times
6/23/2015,0,0.3125,0.3125,Republicans,New York Times
6/17/2015,1.333333333,-0.5,-1.833333333,Republicans,New York Times
6/16/2015,0.458333333,0.222222222,0.236111111,Republicans,New York Times
6/11/2015,0.820512821,0.458333333,0.362179487,Republicans,New York Times
6/11/2015,0.069767442,0.480769231,0.411001789,Republicans,New York Times
6/8/2015,0,-3,-3,Republicans,New York Times
6/5/2015,1,-1,-2,Republicans,New York Times
6/1/2015,-0.068965517,0.015151515,0.084117032,Republicans,New York Times
5/27/2015,-0.75,0,0,Republicans,New York Times
5/24/2015,0.086956522,-0.291666667,-0.378623188,Republicans,New York Times
5/21/2015,0.18,-0.555555556,-0.735555556,Republicans,New York Times
5/20/2015,-0.052631579,0.43,0.482631579,Republicans,New York Times
5/19/2015,0,0,0,Republicans,New York Times
5/17/2015,-0.25,0.333333333,0.583333333,Republicans,New York Times
5/16/2015,0.081632653,0.210497835,0.128865182,Republicans,New York Times
4/28/2015,0.272727273,0,0,Republicans,New York Times
4/22/2015,-0.01754386,0,0,Republicans,New York Times
4/19/2015,0.189655172,0.178333333,0.011321839,Republicans,New York Times
4/18/2015,0.045454545,-0.087962963,-0.133417508,Republicans,New York Times
4/12/2015,-0.555555556,1,1.555555556,Republicans,New York Times
4/8/2015,0,0,0,Republicans,New York Times
4/8/2015,0.288135593,0.533882784,0.245747191,Republicans,New York Times
4/7/2015,0.186046512,0.222222222,0.036175711,Republicans,New York Times
4/5/2015,1,0.802083333,0.197916667,Republicans,New York Times
4/5/2015,0.846153846,0.806944444,0.039209402,Republicans,New York Times
4/2/2015,0.386363636,0.427536232,0.041172596,Republicans,New York Times
4/1/2015,0.05,-0.2,-0.25,Republicans,New York Times
4/1/2015,2,0,0,Republicans,New York Times
3/28/2015,0,0,0,Republicans,New York Times
3/28/2015,0.333333333,1.333333333,1,Republicans,New York Times
3/25/2015,-0.166666667,1.5,1.666666667,Republicans,New York Times
3/19/2015,-0.365853659,-0.595238095,-0.229384437,Republicans,New York Times
3/19/2015,0.5,0.8875,0.3875,Republicans,New York Times
3/18/2015,0.272727273,0.078947368,0.193779904,Republicans,New York Times
3/18/2015,1.5,0,0,Republicans,New York Times
3/17/2015,1.5,0,0,Republicans,New York Times
3/16/2015,1,0.75,0.25,Republicans,New York Times
3/16/2015,0.636363636,0.407407407,0.228956229,Republicans,New York Times
3/13/2015,-0.423076923,-0.333333333,-0.08974359,Republicans,New York Times
3/13/2015,-0.224137931,-0.131578947,-0.092558984,Republicans,New York Times
